imagen,iou_viejo,fichas_viejo,iou_nuevo,fichas_nuevo
train/IMG_20260825_201810714,0.0,0,0.9857,8
train/IMG_20260825_201840550,0.0,0,0.9842,8
train/IMG_20260825_201847152,0.0,0,0.9838,8
train/IMG_20260825_201902547_HDR,0.0,0,0.9659,8
train/IMG_20260825_201904579_HDR,0.0,0,0.9664,8
train/IMG_20260825_201906533,0.3566,1,0.9773,8
train/IMG_20260825_201916386_HDR,0.1224,1,0.9766,8
train/IMG_20260825_201917357_HDR,0.0,0,0.9753,9
train/IMG_20260825_201918553,0.0665,2,0.9822,8
train/IMG_20260825_201926107_HDR,0.0754,2,0.9759,9
train/IMG_20260825_201927047_HDR,0.0746,2,0.979,8
train/IMG_20260825_201928205,0.0779,2,0.9838,9
train/IMG_20260825_201935322,0.0867,2,0.9851,10
train/IMG_20260825_201937302,0.0883,2,0.9824,9
train/IMG_20260825_201939394,0.0883,2,0.9843,8
train/IMG_20260825_202017433,0.0,0,0.9877,9
train/IMG_20260825_202020290,0.0,0,0.9878,9
train/IMG_20260825_202023852,0.0,0,0.9887,9
train/IMG_20260825_202039392,0.0,0,0.9877,9
train/IMG_20260825_202332207,0.0,0,0.9882,9
train/IMG_20260825_202334414,0.0,0,0.9868,9
train/IMG_20260825_202336639,0.0,0,0.9878,9
train/IMG_20260825_202342974,0.0632,2,0.9692,9
train/IMG_20260825_202345497,0.0653,2,0.9658,9
train/IMG_20260825_202347983,0.072,2,0.9696,9
train/IMG_20260825_202356401_HDR,0.0209,1,0.9661,10
train/IMG_20260825_202357632_HDR,0.0253,1,0.965,9
train/IMG_20260825_202359050,0.02,1,0.973,9
train/IMG_20260825_202407141_HDR,0.088,2,0.9006,8
train/IMG_20260825_202408190_HDR,0.1102,3,0.9019,7
train/IMG_20260825_202409392,0.0901,2,0.9805,10
train/IMG_20260825_202938766,0.0,0,0.923,8
train/IMG_20260825_202941684,0.0,0,0.9254,8
train/IMG_20260825_202943870,0.0,0,0.923,8
train/IMG_20260825_202955289_HDR,0.0371,1,0.8346,8
train/IMG_20260825_202956785_HDR,0.0339,1,0.8338,8
train/IMG_20260825_202958446,0.1209,2,0.8417,6
train/IMG_20260825_203002824_HDR,0.0366,1,0.8469,7
train/IMG_20260825_203208041_HDR,0.0,0,0.955,10
train/IMG_20260825_203209157_HDR,0.0,0,0.957,10
train/IMG_20260825_203210527,0.0,0,0.9736,8
train/IMG_20260825_203211939,0.0,0,0.9748,9
train/IMG_20260825_203221792,0.0,0,0.9871,10
train/IMG_20260825_203224551,0.0,0,0.9851,10
train/IMG_20260825_203229130_HDR,0.0,0,0.964,9
train/IMG_20260825_203234670,0.0,0,0.9867,12
train/IMG_20260825_203240625,0.0,0,0.986,10
train/IMG_20260825_203244596,0.0,0,0.9848,10
train/IMG_20260825_203410790,0.0,0,0.9857,9
train/IMG_20260825_203412835,0.0,0,0.9817,10
train/IMG_20260825_203415620,0.0,0,0.9825,9
train/IMG_20260825_203420938_HDR,0.0204,1,0.9604,10
train/IMG_20260825_203422666_HDR,0.0754,2,0.9577,10
train/IMG_20260825_203424273,0.0811,1,0.9733,9
train/IMG_20260825_203426385_HDR,0.079,2,0.8984,9
train/IMG_20260825_203432129_HDR,0.0,0,0.965,10
train/IMG_20260825_203612088_HDR,0.0834,1,0.9763,9
train/IMG_20260825_203613400_HDR,0.0858,1,0.9747,9
train/IMG_20260825_203615165_HDR,0.0746,1,0.9774,9
train/IMG_20260825_203621580_HDR,0.0875,1,0.9824,9
train/IMG_20260825_203623349_HDR,0.0923,1,0.9765,9
train/IMG_20260825_203632500,0.1045,2,0.9885,9
train/IMG_20260825_203637199,0.1102,2,0.991,9
train/IMG_20260825_203641799,0.1178,2,0.99,9
train/IMG_20260825_203705827,0.0,0,0.9873,9
train/IMG_20260825_203723584,0.0,0,0.9887,9
train/IMG_20260825_204240244_HDR,0.0,0,0.9609,10
train/IMG_20260825_204241389_HDR,0.0,0,0.9611,11
train/IMG_20260825_204242672,0.0,0,0.9556,9
train/IMG_20260825_204247966,0.0,0,0.9812,9
train/IMG_20260825_204250187,0.0,0,0.9816,9
train/IMG_20260825_204252339,0.0,0,0.9766,9
train/IMG_20260825_204254964,0.0,0,0.9814,9
train/IMG_20260825_204310795_HDR,0.2639,1,0.9627,9
train/IMG_20260825_204312272_HDR,0.2642,1,0.9573,9
train/IMG_20260825_204313635,0.2964,2,0.9726,11
train/IMG_20260825_204314724_HDR,0.2955,2,0.9572,9
train/IMG_20260825_204316005,0.3119,2,0.9731,9
val/IMG_20260825_202539624_HDR,0.0557,2,0.9713,9
val/IMG_20260825_202540695_HDR,0.0,1,0.9092,8
val/IMG_20260825_202541786,0.0,1,0.9811,9
val/IMG_20260825_202546182,0.2567,1,0.9887,9
val/IMG_20260825_202548974,0.279,1,0.9832,8
val/IMG_20260825_202551596,0.2809,1,0.9199,7
val/IMG_20260825_202754824,0.7422,9,0.92,7
val/IMG_20260825_202801161,0.857,8,0.9322,7
val/IMG_20260825_202803208,0.8919,10,0.9202,7
val/IMG_20260825_202813161,0.3272,7,0.966,6
val/IMG_20260825_202815140,0.33,7,0.8983,7
val/IMG_20260825_204107666,0.2974,2,0.975,9
val/IMG_20260825_204109717,0.3038,2,0.9795,9
val/IMG_20260825_204111961,0.3104,2,0.9761,9
val/IMG_20260825_204120087_HDR,0.3294,2,0.9703,9
val/IMG_20260825_204121267_HDR,0.3106,2,0.9724,9
val/IMG_20260825_204123315,0.39,4,0.983,9
val/IMG_20260825_204124948_HDR,0.3682,2,0.9634,9
val/IMG_20260825_204126471,0.3307,2,0.9795,8
test/IMG_20260825_204506356_HDR,0.0,0,0.9465,9
test/IMG_20260825_204507558_HDR,0.0,0,0.9528,8
test/IMG_20260825_204508764,0.0,0,0.9666,8
test/IMG_20260825_204509612_HDR,0.0,0,0.9404,8
test/IMG_20260825_204511059,0.0,0,0.9018,7
test/IMG_20260825_204512035,0.0,0,0.9697,8
test/IMG_20260825_204526991_HDR,0.0,0,0.9685,8
test/IMG_20260825_204535266,0.0,0,0.9817,8
test/IMG_20260825_204537376,0.0,0,0.9812,8
test/IMG_20260825_204539287,0.0,0,0.9785,8
test/IMG_20260825_204542726,0.0,0,0.98,8
test/IMG_20260825_204544695,0.0,0,0.9789,8
test/IMG_20260825_204601361,0.0064,2,0.9821,8
test/IMG_20260825_204603335,0.0066,2,0.9826,8
test/IMG_20260825_204605315,0.0081,2,0.9206,7
test/IMG_20260825_204608444,0.0073,2,0.9794,8
test/IMG_20260825_204610736,0.0098,2,0.9195,7
